budget,ruleset,metric,pair,median_A,median_B,p_value,A12,effect
20,wimbledon,branch_coverage,search vs random,0.6818,0.7273,0.000549,0.25,large
20,wimbledon,branch_coverage,search vs ablation,0.6818,0.6818,0.927193,0.5072,negligible
20,wimbledon,mutation_score,search vs random,0.3766,0.3977,5.4e-05,0.1967,large
20,wimbledon,mutation_score,search vs ablation,0.3766,0.3799,0.514335,0.4506,negligible
20,usopen,branch_coverage,search vs random,0.6818,0.7273,0.000383,0.2411,large
20,usopen,branch_coverage,search vs ablation,0.6818,0.6818,0.939693,0.5061,negligible
20,usopen,mutation_score,search vs random,0.3766,0.3977,0.000292,0.2278,large
20,usopen,mutation_score,search vs ablation,0.3766,0.3799,0.614591,0.4617,negligible
20,ausopen,branch_coverage,search vs random,0.6818,0.7273,0.000549,0.25,large
20,ausopen,branch_coverage,search vs ablation,0.6818,0.6818,0.927193,0.5072,negligible
20,ausopen,mutation_score,search vs random,0.3766,0.3977,5.4e-05,0.1967,large
20,ausopen,mutation_score,search vs ablation,0.3766,0.3799,0.514335,0.4506,negligible
60,wimbledon,branch_coverage,search vs random,0.7273,0.7727,0.000162,0.2578,large
60,wimbledon,branch_coverage,search vs ablation,0.7273,0.7273,0.213765,0.5883,small
60,wimbledon,mutation_score,search vs random,0.4269,0.4351,0.070037,0.3639,small
60,wimbledon,mutation_score,search vs ablation,0.4269,0.3994,2.4e-05,0.8178,large
60,usopen,branch_coverage,search vs random,0.7348,0.7576,0.000768,0.2889,large
60,usopen,branch_coverage,search vs ablation,0.7348,0.7273,0.152069,0.6028,small
60,usopen,mutation_score,search vs random,0.4302,0.4351,0.253165,0.4139,small
60,usopen,mutation_score,search vs ablation,0.4302,0.401,1.6e-05,0.8244,large
60,ausopen,branch_coverage,search vs random,0.7273,0.7727,0.000162,0.2578,large
60,ausopen,branch_coverage,search vs ablation,0.7273,0.7273,0.213765,0.5883,small
60,ausopen,mutation_score,search vs random,0.4269,0.4351,0.070037,0.3639,small
60,ausopen,mutation_score,search vs ablation,0.4269,0.3994,2.4e-05,0.8178,large
200,wimbledon,branch_coverage,search vs random,0.7727,0.7727,0.041865,0.4333,small
200,wimbledon,branch_coverage,search vs ablation,0.7727,0.7727,0.014765,0.6417,medium
200,wimbledon,mutation_score,search vs random,0.4481,0.4513,0.000406,0.24,large
200,wimbledon,mutation_score,search vs ablation,0.4481,0.4237,0.0,0.8817,large
200,usopen,branch_coverage,search vs random,0.7576,0.7576,0.041865,0.4333,small
200,usopen,branch_coverage,search vs ablation,0.7576,0.7576,0.01383,0.6433,medium
200,usopen,mutation_score,search vs random,0.4481,0.4513,5e-05,0.2028,large
200,usopen,mutation_score,search vs ablation,0.4481,0.4253,0.0,0.8806,large
200,ausopen,branch_coverage,search vs random,0.7727,0.7727,0.041865,0.4333,small
200,ausopen,branch_coverage,search vs ablation,0.7727,0.7727,0.014765,0.6417,medium
200,ausopen,mutation_score,search vs random,0.4481,0.4513,0.000443,0.2422,large
200,ausopen,mutation_score,search vs ablation,0.4481,0.4237,0.0,0.8817,large
